"","zip"
"1761","04671"
"1762","04672"
"1763","04673"
"1764","04674"
"1765","04675"
"1766","04676"
"1767","04677"
"1768","04679"
"1769","04680"
"1770","04681"
"1771","04683"
"1772","04684"
"1773","04685"
"1774","04686"
"1775","04690"
"1776","04691"
"1777","04693"
"1778","04694"
"1779","04724"
"1780","04730"
"1781","04732"
"1782","04733"
"1783","04734"
"1784","04735"
"1785","04736"
"1786","04737"
"1787","04738"
"1788","04739"
"1789","04740"
"1790","04741"
"1791","04742"
"1792","04743"
"1793","04744"
"1794","04745"
"1795","04746"
"1796","04747"
"1797","04750"
"1798","04751"
"1799","04752"
"1800","04756"
"1801","04757"
"1802","04758"
"1803","04759"
"1804","04760"
"1805","04761"
"1806","04762"
"1807","04763"
"1808","04764"
"1809","04765"
"1810","04766"
"1811","04768"
"1812","04769"
"1813","04770"
"1814","04772"
"1815","04773"
"1816","04774"
"1817","04775"
"1818","04776"
"1819","04777"
"1820","04779"
"1821","04780"
"1822","04781"
"1823","04782"
"1824","04783"
"1825","04785"
"1826","04786"
"1827","04787"
"1828","04788"
"1829","04840"
"1830","04841"
"1831","04842"
"1832","04843"
"1833","04846"
"1834","04847"
"1835","04848"
"1836","04849"
"1837","04850"
"1838","04851"
"1839","04852"
"1840","04853"
"1841","04854"
"1842","04855"
"1843","04856"
"1844","04857"
"1845","04858"
"1846","04859"
"1847","04860"
"1848","04861"
"1849","04862"
"1850","04863"
"1851","04864"
"1852","04865"
"1853","04901"
"1854","04903"
"1855","04910"
"1856","04911"
"1857","04912"
"1858","04915"
"1859","04917"
"1860","04918"
"1861","04920"
"1862","04921"
"1863","04922"
"1864","04923"
"1865","04924"
"1866","04925"
"1867","04926"
"1868","04927"
"1869","04928"
"1870","04929"
